,0
0,1
1,1
2,0
3,0
4,1
5,1
6,1
7,0
8,1
9,1
10,1
11,1
12,0
13,1
14,0
15,1
16,1
17,1
18,0
19,1
20,0
21,0
22,0
23,1
24,0
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,0
34,1
35,0
36,1
37,0
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,1
49,1
50,0
51,0
52,1
53,1
54,0
55,1
56,0
57,1
58,1
59,0
60,1
61,1
62,1
63,1
64,1
65,0
66,1
67,1
68,1
69,1
70,1
71,0
72,0
73,0
74,1
75,0
76,1
77,0
78,0
79,0
80,0
81,1
82,1
83,1
84,1
85,0
86,0
87,1
88,1
89,1
90,0
91,0
92,0
93,1
94,1
95,0
96,0
97,0
98,0
99,1
100,1
101,1
102,0
103,0
104,1
105,1
106,1
107,0
108,1
109,1
110,1
111,1
112,0
113,1
114,0
115,1
116,0
117,1
118,1
119,0
120,0
121,0
122,0
123,1
124,1
125,1
126,0
127,0
128,1
129,1
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,0
145,0
146,1
147,1
148,1
149,1
150,1
151,0
152,0
153,1
154,0
155,1
156,0
157,1
158,0
159,0
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,1
168,1
169,0
170,1
171,1
172,0
173,0
174,1
175,0
176,1
177,1
178,1
179,0
180,1
181,0
182,0
183,1
184,0
185,1
186,1
187,1
188,0
189,1
190,1
191,1
192,0
193,0
194,1
195,1
196,0
197,0
198,1
199,0
200,1
201,0
202,0
203,0
204,1
205,0
206,1
207,0
208,1
209,1
210,0
211,0
212,1
213,1
214,0
215,0
216,1
217,0
218,1
219,0
220,1
221,0
222,1
223,1
224,0
225,1
226,0
227,1
228,1
229,0
230,1
231,1
232,1
233,1
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,1
242,1
243,1
244,0
245,0
246,1
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,1
255,1
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,1
264,0
265,0
266,0
267,0
268,1
269,1
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,1
278,1
279,0
280,1
281,0
282,0
283,0
284,1
285,1
286,0
287,0
288,1
289,1
290,0
291,1
292,0
293,0
294,0
295,0
296,1
297,0
298,1
299,0
300,0
301,1
302,1
303,0
304,1
305,0
306,0
307,1
308,1
309,1
310,0
311,0
312,1
313,0
314,1
315,1
316,1
317,0
318,0
319,0
320,0
321,0
322,1
323,1
324,1
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,1
336,1
337,0
338,0
339,1
340,0
341,0
342,1
343,1
344,1
345,1
346,0
347,1
348,0
349,1
350,1
351,1
352,0
353,1
354,0
355,0
356,0
357,1
358,0
359,0
360,1
361,0
362,0
363,0
364,0
365,1
366,1
367,0
368,1
369,1
370,0
371,0
372,0
373,0
374,1
375,0
376,0
377,0
378,1
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,1
387,0
388,1
389,0
390,0
391,1
392,0
393,0
394,0
395,0
396,1
397,1
398,1
399,0
400,0
401,0
402,0
403,0
404,1
405,0
406,0
407,1
408,1
409,1
410,0
411,0
412,1
413,1
414,0
415,0
416,0
417,0
418,1
419,0
420,1
421,0
422,1
423,1
424,0
425,1
426,1
427,1
428,0
429,1
430,0
431,1
432,1
433,1
434,0
435,1
436,1
437,1
438,0
439,0
440,1
441,0
442,0
443,0
444,1
445,1
446,0
447,1
448,0
449,0
450,1
451,1
452,0
453,1
454,0
455,0
456,1
457,0
458,1
459,0
460,1
461,0
462,0
463,0
464,1
465,0
466,0
467,1
468,0
469,1
470,0
471,1
472,1
473,0
474,0
475,0
476,0
477,1
478,1
479,0
480,1
481,1
482,0
483,0
484,0
485,1
486,1
487,1
488,0
489,0
490,0
491,1
492,0
493,1
494,0
495,1
496,0
497,1
498,1
499,0
500,1
501,0
502,1
503,1
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,1
512,1
513,0
514,1
515,0
516,0
517,0
518,1
519,0
520,1
521,0
522,1
523,1
524,1
525,0
526,0
527,1
528,0
529,0
530,0
531,0
532,0
533,1
534,1
535,0
536,1
537,0
538,0
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,0
547,0
548,0
549,0
550,0
551,0
552,1
553,0
554,0
555,1
556,1
557,1
558,0
559,1
560,1
561,1
562,0
563,1
564,0
565,1
566,1
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,1
580,0
581,1
582,0
583,1
584,0
585,0
586,1
587,1
588,1
589,0
590,1
591,1
592,1
593,0
594,0
595,1
596,0
597,0
598,1
599,1
600,1
601,0
602,1
603,1
604,1
605,0
606,0
607,1
608,1
609,1
610,0
611,1
612,1
613,0
614,0
615,1
616,0
617,0
618,1
619,0
620,1
621,0
622,0
623,0
624,1
625,0
626,1
627,0
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,0
638,0
639,1
640,1
641,0
642,0
643,0
644,1
645,1
646,0
647,0
648,0
649,1
650,1
651,0
652,0
653,1
654,0
655,1
656,1
657,1
658,0
659,1
660,1
661,1
662,1
663,0
664,0
665,0
666,1
667,1
668,0
669,0
670,1
671,1
672,1
673,1
674,0
675,0
676,1
677,1
678,1
679,0
680,1
681,1
682,1
683,1
684,1
685,0
686,0
687,0
688,0
689,0
690,1
691,1
692,0
693,0
694,0
695,0
696,1
697,1
698,0
699,1
700,1
701,0
702,1
703,1
704,0
705,1
706,0
707,1
708,0
709,1
710,0
711,1
712,1
713,1
714,0
715,1
716,0
717,1
718,1
719,0
720,0
721,0
722,1
723,1
724,0
725,1
726,1
727,1
728,1
729,1
730,0
731,1
732,1
733,1
734,0
735,1
736,1
737,0
738,1
739,0
740,0
741,1
742,0
743,0
744,0
745,1
746,0
747,0
748,0
749,0
750,1
751,0
752,1
753,0
754,0
755,0
756,1
757,0
758,0
759,1
760,0
761,1
762,1
763,1
764,0
765,1
766,0
767,1
768,0
769,0
770,0
771,0
772,1
773,1
774,0
775,0
776,0
777,1
778,0
779,1
780,0
781,1
782,1
783,0
784,1
785,1
786,1
787,0
788,0
789,1
790,1
791,0
792,0
793,0
794,0
795,1
796,1
797,0
798,0
799,1
800,0
801,1
802,1
803,0
804,0
805,1
806,0
807,0
808,1
809,0
810,0
811,1
812,1
